year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD,logit_R,log_AMC,log_IT,log_PMP,log_PD
1999,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.02,6779,136,North America,C055,2.6,9,12.44126184,84362782,58.55420127,30.48084346,78.87708964,12.9,735,0.0535,0.164,0.758,102.7,75,53.63758214,27.8,90.83625481,3.363196635,-3.844050022,3.360375387,18.2506369,2.63188884,3.449379217
2000,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,180,0,Europe and Central Asia,C017,6.2,10.1,9.892069566,18983000,21.79514843,235.5968133,74.965,15,733.3,0.0273,0.221,0.967,183.6,76,53.63758214,15.6,89.65557129,9.12,-6.908754779,2.809402695,16.75905445,2.772588722,5.466357483
2000,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.036,361,13,Europe and Central Asia,C018,11.2,15.8,7.26221428,13567000,38.37357052,83.83093871,72.716,19.4,436.2,0.0596,0.0637,0.43,70.2,49,53.63758214,26.3,88.08414271,4.77,-3.261210189,3.306886702,16.42315101,3.015534901,4.44066032
2000,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.001,977,1,Europe and Central Asia,C032,7.3,10.8,7.735382804,10003000,30.95935239,471.7272808,76.795,14.9,877.2,0.179,0.536,0.265,204.9,89,53.63758214,9.3,92.23357989,4.92,-6.214608098,2.332143895,16.11839571,2.766319109,6.158518649
2000,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.003,918,3,Europe and Central Asia,C035,21.6,27.5,7.722664156,3104000,18.31750456,12.29579952,76.02,44.9,32.5,0.00017,0,0.554,9.1,91,53.63758214,15.4,89.70746069,3.8,-5.519458915,2.797281335,14.94820248,3.826465117,2.58744816
2000,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.02,8570,171,North America,C055,2.8,9,12.47666674,78343000,55.6100775,30.79730133,79.057,12.9,729.8,0.0522,0.133,1,100.5,78,53.63758214,27.8,90.41516637,3.49,-3.844050022,3.360375387,18.17660719,2.63188884,3.459381422
2000,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.23,231,53,Latin America and the Caribbean,C056,20.3,25.3,7.349016717,602000,54.08254405,27.6942679,87.559,18.5,1790,0.385,0.651,0.298,153,27,53.63758214,10.3,62.38326206,0.800000012,-1.205270663,2.424802726,13.30801439,2.970414466,3.356697378
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,257,0,Europe and Central Asia,C003,2.9,7.1,9.292316887,18180000,26.35471148,97.45871304,59.934,17.3,1043.1,0.147,0.368,1.501,175.4,78,53.63758214,14.8,69.70088066,7.85,-6.908754779,2.76000994,16.7158327,2.90690106,4.589637303
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.018,222,4,Europe and Central Asia,C005,6.6,10.5,8.166702238,6452000,24.66787355,339.7149934,97.186,14.2,1038.7,0.0204,0.397,1.336,217.5,66,53.63758214,22.2,84.65557129,6.62,-3.946170141,3.144152279,15.67990087,2.721295428,5.831046331
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.067,90,6,Europe and Central Asia,C007,6.5,11.5,6.740405082,5104000,43.9206597,72.3957516,69.166,28.6,545,0.0516,0.0237,1.648,94,39,53.63758214,10.3,91.55045088,7.2,-2.619968733,2.424802726,15.4455353,3.387774361,4.295866054
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.02,1167,23,Europe and Central Asia,C011,3.8,8,5.852994136,20108000,12.551883,132.2195548,73.877,22.2,759.7,0.0257,0.14,1.161,176.9,39,53.63758214,15.9,94.41417377,7.77,-3.844050022,2.827313622,16.81662835,3.144152279,4.891998555
