year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD,logit_R,log_AMC,log_IT,log_PMP,log_PD
1999,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.08,2787,223,North America,C055,2.6,9,12.44126184,84362782,58.55420127,30.48084346,78.87708964,12.9,735,0.0535,0.164,0.758,102.7,75,53.63758214,27.8,90.83625481,3.363196635,-2.431010882,3.360375387,18.2506369,2.63188884,3.449379217
2000,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.09,3394,305,North America,C055,2.8,9,12.47666674,78343000,55.6100775,30.79730133,79.057,12.9,729.8,0.0522,0.133,1,100.5,78,53.63758214,27.8,90.41516637,3.49,-2.303683391,3.360375387,18.17660719,2.63188884,3.459381422
2000,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.64,192,123,Latin America and the Caribbean,C056,20.3,25.3,7.349016717,602000,54.08254405,27.6942679,87.559,18.5,1790,0.385,0.651,0.298,153,27,53.63758214,10.3,62.38326206,0.800000012,0.574151499,2.424802726,13.30801439,2.970414466,3.356697378
2001,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.12,3827,459,North America,C055,3,9.2,13.14153758,70975000,54.66393591,31.10362839,79.234,12.6,762,0.0522,0.149,0.786,106.6,76,53.63758214,29.7,90.27230923,3.47,-1.98526708,3.424262655,18.07783827,2.610069793,3.468969058
2001,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.68,368,250,Latin America and the Caribbean,C056,20.7,25.8,7.859209855,792000,54.9824662,28.20724789,87.85,22.6,1934.3,0.343,0.533,0.626,155.7,28,53.63758214,10.4,74.09754777,0.800000012,0.752121183,2.433613355,13.58231793,3.161246712,3.374416894
2002,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.11,3850,424,North America,C055,3.1,9.3,13.95649086,64434000,54.78593244,31.39354993,79.409,12.2,806.2,0.0574,0.16,0.951,109.8,77,53.63758214,29.2,90.27230923,3.39,-2.082814226,3.407841924,17.98115202,2.58021683,3.477959327
2002,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.62,307,190,Latin America and the Caribbean,C056,20.8,25.8,7.720838527,590000,53.82577665,28.71824613,87.876,20.8,2000.9,0.387,0.644,0.864,160.9,25,53.63758214,10.5,74.5261192,0.800000012,0.488531707,2.442347035,13.28787951,3.08190997,3.391761205
2003,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.11,3985,438,North America,C055,3.1,9.2,14.45122768,62082000,55.01500359,31.66453462,79.583,11.9,759.8,0.0561,0.182,0.99,108.7,75,53.63758214,29.8,91.70088066,3.33,-2.082814226,3.42751469,17.94396667,2.557227311,3.486289921
2003,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.71,697,495,Latin America and the Caribbean,C056,21.2,26.1,7.500918666,435000,49.55294706,29.22966839,87.902,23.6,2105.2,0.416,0.675,0.912,167.2,24,53.63758214,10.8,76.81183349,0.9,0.893349163,2.468099531,12.98310361,3.202746443,3.408823839
2004,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.07,54,4,Sub-Saharan Africa,C028,17.5,22.7,3.941511421,427000,12.86424924,131.6434238,14.964,19.5,1227.1,0.446,0.376,0.879,104.5,28,15.42619509,4.9,88.81183349,1.1,-2.5735794,1.774952351,12.96454163,3.020424886,4.887664504
2004,3GCRKP,Klebsiella pneumoniae,Cephalosporins (3rd gen),0.03,246,7,East Asia and Pacific,C033,5.7,10.3,7.908864511,2334000,22.96346966,15.5235274,86.281,7,1670.2,0.0967,0.214,0.698,171.5,96,53.63758214,23.3,86.22699986,6.2,-3.444339264,3.19047635,14.66309452,2.079441542,2.804785268
