year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.78,431,336,Latin America and the Caribbean,C001,9.4,15.6,9.636395307,7165000,34.04805521,15.59164538,91.377,13.2,706,0.0716,0.0667,0.951,79.2,34,53.63758214,15.5,94.85714286,4.84
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.87,523,455,Latin America and the Caribbean,C001,9.5,15.7,10.19975397,6816000,33.0023993,15.76063274,91.503,13.5,648.6,0.071,0.0698,0.957,74.8,32,53.63758214,16.7,92.42857143,4.96
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.82,287,235,Latin America and the Caribbean,C001,9,15.2,8.985845323,6668000,37.58023798,15.92813508,91.627,13.7,662.1,0.068,0.0668,0.488,78.5,36,53.63758214,16.9,90.42857143,4.95
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.83,320,266,Latin America and the Caribbean,C001,9.5,15.8,10.43993217,6711000,36.3676376,16.09419079,91.749,12.9,634.5,0.0673,0.07,1.095,77.2,39,53.63758214,16.7,87.85714286,4.99
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.76,375,285,Latin America and the Caribbean,C001,9.1,15.5,9.51611392,6942000,36.92702016,16.2585101,91.87,13.1,598.1,0.0636,0.0534,0.878,75.1,40,53.63758214,15.2,89.71428571,4.99
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.69,292,201,Latin America and the Caribbean,C001,9.1,15.5,9.509059835,7399000,35.7846133,16.42082662,91.991,14.2,591.6,0.0567,0.0552,0.76,71.1,45,53.63758214,15.2,83.85714286,4.99
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.83,640,531,Latin America and the Caribbean,C001,9,15.8,10.05162935,7399000,33.44421573,16.58089261,92.111,15.6,496.3,0.0407,0.0319,1.123,63.8,42,53.63758214,15.2,74.14285714,4.99
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.078,51,4,Europe and Central Asia,C003,3.5,7.5,10.31977933,24813000,27.83093858,102.7608216,57.336,15.6,1139,0.168,0.4,1.098,179.8,69,53.63758214,20.9,91.98659494,7.64
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.064,78,5,Europe and Central Asia,C003,4.4,8.5,10.41509556,25291000,27.48290871,103.5670868,57.526,13.8,1208.1,0.197,0.438,2.409,187.6,72,53.63758214,17.2,94.98659494,7.58
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.094,64,6,Europe and Central Asia,C003,4,8.4,10.43723611,26728000,27.54398745,104.7345977,57.715,13.6,1046.6,0.123,0.285,2.167,153.1,76,53.63758214,17,92.27230923,7.54
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.123,81,10,Europe and Central Asia,C003,3.7,7.9,10.39533097,28121000,27.64032438,105.8733398,57.905,12.8,1318.5,0.176,0.367,2.096,186.9,75,53.63758214,17,88.8437378,7.42
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.067,75,5,Europe and Central Asia,C003,3.5,7.8,10.4132624,29460000,26.18421715,106.6113185,58.094,13,1243.1,0.151,0.328,1.741,183,75,53.63758214,16.7,89.98659494,7.37
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.044,91,4,Europe and Central Asia,C003,4.2,8.6,10.37026868,30816000,25.51817955,107.1318589,58.297,14,1079.1,0.161,0.293,2.524,164.2,76,53.63758214,16.8,86.8437378,7.27
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.074,81,6,Europe and Central Asia,C003,4.2,8.6,10.21378983,31884000,25.09123293,107.6093068,58.515,11.1,1150.8,0.156,0.297,2.37,183.3,77,53.63758214,16.89761503,87.27230923,7.27
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.072,69,5,Europe and Central Asia,C003,4,8.4,11.17890638,15091000,23.62789666,108.0570044,58.748,10.4,1256.8,0.154,0.302,2.315,174.5,76,53.63758214,16.97509041,87.55802351,7.27
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.1,70,7,Europe and Central Asia,C003,3.2,7.5,14.57151018,38109505.12,19.87200875,108.4813846,58.99622159,10.9,1072.5,0.147,0.294,1.395,168.3,74,53.63758214,17.03658127,94.4899963,7.150327201
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.032,94,3,Europe and Central Asia,C003,4.3,8.8,21.62668176,145290515.4,12.54808857,108.8957895,59.25966476,10.7,933.2,0.141,0.231,2.498,169.1,71,53.63758214,17.08538551,95.51040446,6.810981602
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.026,78,2,Europe and Central Asia,C005,6.7,10.8,10.78196193,7481000,22.86271962,374.2213342,97.919,12.2,915.8,0.023,0.27,1.882,192.9,77,53.63758214,27.3,94.41516637,5.76
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.069,131,9,Europe and Central Asia,C005,7,11.1,10.7738471,8385000,22.797451,375.6657199,97.961,11.9,858.6,0.0121,0.114,1.731,195.6,75,53.63758214,26.8,94.41516637,5.66
