year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2014,CREC,Escherichia coli,Carbapenems,2.22e-18,1588,0,Latin America and the Caribbean,C001,9.4,15.6,9.636395307,7165000.0,34.04805521,15.59164538,91.377,13.2,706.0,0.0716,0.0667,0.951,79.2,34.0,53.63758214,15.5,94.85714286,4.84
2015,CREC,Escherichia coli,Carbapenems,0.01,2170,22,Latin America and the Caribbean,C001,9.5,15.7,10.19975397,6816000.0,33.0023993,15.76063274,91.503,13.5,648.6,0.071,0.0698,0.957,74.8,32.0,53.63758214,16.7,92.42857143,4.96
2016,CREC,Escherichia coli,Carbapenems,0.01,1729,17,Latin America and the Caribbean,C001,9.0,15.2,8.985845323,6668000.0,37.58023798,15.92813508,91.627,13.7,662.1,0.068,0.0668,0.488,78.5,36.0,53.63758214,16.9,90.42857143,4.95
2017,CREC,Escherichia coli,Carbapenems,2.22e-18,1845,0,Latin America and the Caribbean,C001,9.5,15.8,10.43993217,6711000.0,36.3676376,16.09419079,91.749,12.9,634.5,0.0673,0.07,1.095,77.2,39.0,53.63758214,16.7,87.85714286,4.99
2018,CREC,Escherichia coli,Carbapenems,0.01,2111,21,Latin America and the Caribbean,C001,9.1,15.5,9.51611392,6942000.0,36.92702016,16.2585101,91.87,13.1,598.1,0.0636,0.0534,0.878,75.1,40.0,53.63758214,15.2,89.71428571,4.99
2019,CREC,Escherichia coli,Carbapenems,0.01,1705,17,Latin America and the Caribbean,C001,9.1,15.5,9.509059835,7399000.0,35.7846133,16.42082662,91.991,14.2,591.6,0.0567,0.0552,0.76,71.1,45.0,53.63758214,15.2,83.85714286,4.99
2020,CREC,Escherichia coli,Carbapenems,2.22e-18,1929,0,Latin America and the Caribbean,C001,9.0,15.8,10.05162935,7399000.0,33.44421573,16.58089261,92.111,15.6,496.3,0.0407,0.0319,1.123,63.8,42.0,53.63758214,15.2,74.14285714,4.99
2001,CREC,Escherichia coli,Carbapenems,2.22e-18,33,0,Europe and Central Asia,C003,2.9,7.1,9.292316887,18180000.0,26.35471148,97.45871304,59.934,17.3,1043.1,0.147,0.368,1.501,175.4,78.0,53.63758214,14.8,69.70088066,7.85
2002,CREC,Escherichia coli,Carbapenems,2.22e-18,234,0,Europe and Central Asia,C003,3.7,7.9,9.416105345,18611000.0,26.56185911,97.93937227,59.655,19.4,1195.4,0.19,0.391,1.531,178.0,78.0,53.63758214,14.9,76.41516637,7.81
2003,CREC,Escherichia coli,Carbapenems,0.002,663,1,Europe and Central Asia,C003,2.7,7.5,9.571682786,19078000.0,26.86173229,98.41763209,59.375,19.2,873.8,0.088,0.211,1.464,148.3,80.0,53.63758214,15.5,78.55802351,7.73
