year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD,logit_R,log_AMC,log_IT,log_PMP,log_PD
2014,CRKP,Klebsiella pneumoniae,Carbapenems,0.09,1298,117,Latin America and the Caribbean,C001,9.4,15.6,9.636395307,7165000,34.04805521,15.59164538,91.377,13.2,706,0.0716,0.0667,0.951,79.2,34,53.63758214,15.5,94.85714286,4.84,-2.303683391,2.803360381,15.78471876,2.653241965,2.808899278
2015,CRKP,Klebsiella pneumoniae,Carbapenems,0.14,1903,266,Latin America and the Caribbean,C001,9.5,15.7,10.19975397,6816000,33.0023993,15.76063274,91.503,13.5,648.6,0.071,0.0698,0.957,74.8,32,53.63758214,16.7,92.42857143,4.96,-1.809334614,2.87356464,15.73478349,2.674148649,2.819032847
2016,CRKP,Klebsiella pneumoniae,Carbapenems,0.16,1278,204,Latin America and the Caribbean,C001,9,15.2,8.985845323,6668000,37.58023798,15.92813508,91.627,13.7,662.1,0.068,0.0668,0.488,78.5,36,53.63758214,16.9,90.42857143,4.95,-1.653187295,2.884800713,15.71283067,2.687847494,2.828977035
2017,CRKP,Klebsiella pneumoniae,Carbapenems,0.2,1357,271,Latin America and the Caribbean,C001,9.5,15.8,10.43993217,6711000,36.3676376,16.09419079,91.749,12.9,634.5,0.0673,0.07,1.095,77.2,39,53.63758214,16.7,87.85714286,4.99,-1.382556039,2.87356464,15.71925868,2.63188884,2.838738686
2018,CRKP,Klebsiella pneumoniae,Carbapenems,0.21,1525,320,Latin America and the Caribbean,C001,9.1,15.5,9.51611392,6942000,36.92702016,16.2585101,91.87,13.1,598.1,0.0636,0.0534,0.878,75.1,40,53.63758214,15.2,89.71428571,4.99,-1.321439834,2.785011242,15.75310062,2.646174797,2.848305361
2019,CRKP,Klebsiella pneumoniae,Carbapenems,0.19,1167,222,Latin America and the Caribbean,C001,9.1,15.5,9.509059835,7399000,35.7846133,16.42082662,91.991,14.2,591.6,0.0567,0.0552,0.76,71.1,45,53.63758214,15.2,83.85714286,4.99,-1.445994626,2.785011242,15.81685555,2.721295428,2.857666423
2020,CRKP,Klebsiella pneumoniae,Carbapenems,0.26,1764,459,Latin America and the Caribbean,C001,9,15.8,10.05162935,7399000,33.44421573,16.58089261,92.111,15.6,496.3,0.0407,0.0319,1.123,63.8,42,53.63758214,15.2,74.14285714,4.99,-1.043480218,2.785011242,15.81685555,2.809402695,2.866812665
2013,CRKP,Klebsiella pneumoniae,Carbapenems,0.01,727,7,East Asia and Pacific,C002,15.7,22.7,9.110690026,6482000,32.27200725,3.010573526,85.502,6.1,497.3,0.0188,0.0163,1.499,79.4,81,53.63758214,23.4,91.41516637,3.74,-4.500819262,3.194583132,15.68453982,1.960094784,1.388934255
2014,CRKP,Klebsiella pneumoniae,Carbapenems,0.01,877,9,East Asia and Pacific,C002,15.5,22.5,10.00180527,6922000,29.84364974,3.055814795,85.602,6.1,504.9,0.0207,0.0292,1.198,76.8,80,53.63758214,25.9,91.8437378,3.79,-4.500819262,3.292126287,15.75021545,1.960094784,1.400151603
2015,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,974,0,East Asia and Pacific,C002,15.4,22.3,10.39781028,7449000,28.96365023,3.100112596,85.701,6,488.9,0.0184,0.0183,1.087,76.4,79,53.63758214,26,92.8437378,3.82,-6.908754779,3.295836866,15.82359049,1.945910149,1.411014436
2016,CRKP,Klebsiella pneumoniae,Carbapenems,0.01,995,10,East Asia and Pacific,C002,15.7,22.4,10.70766809,8269000,28.89559248,3.144935531,85.8,5.9,541.7,0.0166,0.0164,1.172,87.5,79,53.63758214,25.7,93.55802351,3.84,-4.500819262,3.284663565,15.92802426,1.931521412,1.421887235
