year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2005,CRPA,Pseudomonas aeruginosa,Carbapenems,0.104,77,8,Europe and Central Asia,C003,2.4,6.5,9.658101195,19952000,27.34830662,99.70708919,58.813,19,1113.6,0.161,0.372,0.628,173.1,87,53.63758214,17.4,80.41516637,7.69
2006,CRPA,Pseudomonas aeruginosa,Carbapenems,0.149,397,59,Europe and Central Asia,C003,3,7.3,9.548316577,20269000,27.14986376,100.2016602,58.532,20,1036.7,0.149,0.327,0.907,159.9,86,53.63758214,16.3,80.41516637,7.66
2007,CRPA,Pseudomonas aeruginosa,Carbapenems,0.115,408,47,Europe and Central Asia,C003,3.7,8,9.545275645,20773000,27.20098749,100.5269874,58.249,14.8,1149.3,0.139,0.271,2.137,173.9,81,53.63758214,17.5,80.70088066,7.75
2008,CRPA,Pseudomonas aeruginosa,Carbapenems,0.108,507,55,Europe and Central Asia,C003,3.6,7.8,9.741457373,21935000,26.21240303,100.8421716,57.966,15.1,1065.7,0.154,0.317,1.582,172.9,81,53.63758214,21,80.98659494,7.69
2009,CRPA,Pseudomonas aeruginosa,Carbapenems,0.088,513,45,Europe and Central Asia,C003,3.4,7.6,10.2359352,21355000,27.15328888,101.1066772,57.683,15.8,1204.4,0.192,0.423,1.544,186.6,79,53.63758214,22.5,80.27230923,7.68
2010,CRPA,Pseudomonas aeruginosa,Carbapenems,0.144,473,68,Europe and Central Asia,C003,2.6,6.7,10.23593462,22004000,27.60429357,101.3500242,57.399,16.7,1134.5,0.166,0.389,0.656,187.5,79,53.63758214,21.2,83.27230923,7.65
2011,CRPA,Pseudomonas aeruginosa,Carbapenems,0.136,538,73,Europe and Central Asia,C003,3.5,8,10.04585988,23012000,27.31097491,101.6922322,57.115,16.9,929.9,0.133,0.29,1.373,142.5,78,53.63758214,20.3,86.12945208,7.68
2012,CRPA,Pseudomonas aeruginosa,Carbapenems,0.146,562,82,Europe and Central Asia,C003,3.5,7.8,10.22568435,24151000,27.12621384,102.1569438,57.147,14.3,1101.5,0.178,0.353,1.783,175.1,69,53.63758214,19.8,89.12945208,7.67
2013,CRPA,Pseudomonas aeruginosa,Carbapenems,0.123,616,76,Europe and Central Asia,C003,3.5,7.5,10.31977933,24813000,27.83093858,102.7608216,57.336,15.6,1139,0.168,0.4,1.098,179.8,69,53.63758214,20.9,91.98659494,7.64
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.127,636,81,Europe and Central Asia,C003,4.4,8.5,10.41509556,25291000,27.48290871,103.5670868,57.526,13.8,1208.1,0.197,0.438,2.409,187.6,72,53.63758214,17.2,94.98659494,7.58
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.122,680,83,Europe and Central Asia,C003,4,8.4,10.43723611,26728000,27.54398745,104.7345977,57.715,13.6,1046.6,0.123,0.285,2.167,153.1,76,53.63758214,17,92.27230923,7.54
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.129,696,90,Europe and Central Asia,C003,3.7,7.9,10.39533097,28121000,27.64032438,105.8733398,57.905,12.8,1318.5,0.176,0.367,2.096,186.9,75,53.63758214,17,88.8437378,7.42
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.139,725,101,Europe and Central Asia,C003,3.5,7.8,10.4132624,29460000,26.18421715,106.6113185,58.094,13,1243.1,0.151,0.328,1.741,183,75,53.63758214,16.7,89.98659494,7.37
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.128,736,94,Europe and Central Asia,C003,4.2,8.6,10.37026868,30816000,25.51817955,107.1318589,58.297,14,1079.1,0.161,0.293,2.524,164.2,76,53.63758214,16.8,86.8437378,7.27
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.134,786,105,Europe and Central Asia,C003,4.2,8.6,10.21378983,31884000,25.09123293,107.6093068,58.515,11.1,1150.8,0.156,0.297,2.37,183.3,77,53.63758214,16.89761503,87.27230923,7.27
2020,CRPA,Pseudomonas aeruginosa,Carbapenems,0.151,683,103,Europe and Central Asia,C003,4,8.4,11.17890638,15091000,23.62789666,108.0570044,58.748,10.4,1256.8,0.154,0.302,2.315,174.5,76,53.63758214,16.97509041,87.55802351,7.27
2021,CRPA,Pseudomonas aeruginosa,Carbapenems,0.159,737,117,Europe and Central Asia,C003,3.2,7.5,14.57151018,38109505.12,19.87200875,108.4813846,58.99622159,10.9,1072.5,0.147,0.294,1.395,168.3,74,53.63758214,17.03658127,94.4899963,7.150327201
2022,CRPA,Pseudomonas aeruginosa,Carbapenems,0.164,677,111,Europe and Central Asia,C003,4.3,8.8,21.62668176,145290515.4,12.54808857,108.8957895,59.25966476,10.7,933.2,0.141,0.231,2.498,169.1,71,53.63758214,17.08538551,95.51040446,6.810981602
2009,CRPA,Pseudomonas aeruginosa,Carbapenems,0.09,134,12,Europe and Central Asia,C005,6.5,10.7,10.36273867,6815000,23.69958234,356.555251,97.603,17.7,851.4,0.0142,0.168,1.158,193.9,71,53.63758214,24.3,94.12945208,6.15
2010,CRPA,Pseudomonas aeruginosa,Carbapenems,0.046,130,6,Europe and Central Asia,C005,5.3,9.4,10.25522703,7186000,23.7527628,359.8278071,97.651,17.2,876.9,0.0159,0.166,0.233,187.6,71,53.63758214,24.1,94.12945208,6.12
2011,CRPA,Pseudomonas aeruginosa,Carbapenems,0.107,459,49,Europe and Central Asia,C005,6.9,11.2,10.39882554,7494000,23.81827878,364.5397622,97.698,16.7,778.6,0.0163,0.188,1.289,170.4,75,53.63758214,24.9,94.12945208,6.05
2012,CRPA,Pseudomonas aeruginosa,Carbapenems,0.097,391,38,Europe and Central Asia,C005,6.3,10.5,10.50906167,7560000,23.37721029,366.8075297,97.744,14.9,961,0.0182,0.188,1.13,210.4,75,53.63758214,24.9,94.98659494,5.99
2013,CRPA,Pseudomonas aeruginosa,Carbapenems,0.11,518,57,Europe and Central Asia,C005,6,9.9,10.56925055,7684000,23.81465406,368.5405218,97.789,15.8,845.1,0.0139,0.23,0.463,195,75,53.63758214,25,94.98659494,5.93
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.102,344,35,Europe and Central Asia,C005,7.7,11.8,10.60195203,7887000,23.63473127,370.180218,97.833,13,867.6,0.0173,0.227,2.417,191,76,53.63758214,27.9,94.98659494,5.85
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.039,256,10,Europe and Central Asia,C005,6.9,11.1,10.80927977,8355000,23.31327819,372.3314399,97.876,12.6,824.9,0.0124,0.223,1.371,194.3,77,53.63758214,29.6,94.98659494,5.83
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.096,365,35,Europe and Central Asia,C005,6.7,10.8,10.78196193,7481000,22.86271962,374.2213342,97.919,12.2,915.8,0.023,0.27,1.882,192.9,77,53.63758214,27.3,94.41516637,5.76
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.082,474,39,Europe and Central Asia,C005,7,11.1,10.7738471,8385000,22.797451,375.6657199,97.961,11.9,858.6,0.0121,0.114,1.731,195.6,75,53.63758214,26.8,94.41516637,5.66
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.074,487,36,Europe and Central Asia,C005,7.2,11.7,10.81579844,9119000,22.74849788,377.3795905,98.001,12.3,724.9,0.0138,0.203,2.196,162.3,75,53.63758214,26.3,94.41516637,5.62
