Resistance_Type,Period,Temperature_Range,Temperature_Effect,Effect_Lower_Bound,Effect_Upper_Bound
AAMR,1999-2006,Below_Threshold,-0.30744,-0.51765,-0.09723
AAMR,1999-2006,Above_Threshold,0.6985,0.1034636,1.2935364
AAMR,2007-2014,Below_Threshold,-0.8665,-1.1762192,-0.5567808
AAMR,2007-2014,Above_Threshold,0.13944,-0.5006176,0.7794976
AAMR,2015-2022,Below_Threshold,-0.5705,-0.8591296,-0.2818704
AAMR,2015-2022,Above_Threshold,0.43544,-0.191858,1.062738
3GCRKP,1999-2006,Below_Threshold,-1.18225,-2.53024,0.16574
3GCRKP,1999-2006,Above_Threshold,-0.08318,-1.4644312,1.2980712
3GCRKP,2007-2014,Below_Threshold,-2.25528,-3.6944492,-0.8161108
3GCRKP,2007-2014,Above_Threshold,-1.15621,-2.6290912,0.3166712
3GCRKP,2015-2022,Below_Threshold,-1.83895,-3.2173592,-0.4605408
3GCRKP,2015-2022,Above_Threshold,-0.73988,-2.146376,0.666616
CRKP,1999-2006,Below_Threshold,-1.4114,-1.8800948,-0.9427052
CRKP,1999-2006,Above_Threshold,0.24346,-0.2994796,0.7863996
CRKP,2007-2014,Below_Threshold,-1.66467,-2.3329712,-0.9963688
CRKP,2007-2014,Above_Threshold,-0.00981,-0.7612152,0.7415952
CRKP,2015-2022,Below_Threshold,-1.7491,-2.3187348,-1.1794652
CRKP,2015-2022,Above_Threshold,-0.09424,-0.7120908,0.5236108
CRPA,1999-2006,Below_Threshold,-1.747073,-2.2813494,-1.2127966
CRPA,1999-2006,Above_Threshold,-0.242421,-0.80127776,0.31643576
CRPA,2007-2014,Below_Threshold,-2.324763,-2.96814672,-1.68137928
CRPA,2007-2014,Above_Threshold,-0.820111,-1.49806716,-0.14215484
CRPA,2015-2022,Below_Threshold,-1.662449,-2.23163692,-1.09326108
CRPA,2015-2022,Above_Threshold,-0.157797,-0.761183,0.445589
CRAB,1999-2006,Below_Threshold,-1.24888,-2.35285,-0.14491
CRAB,1999-2006,Above_Threshold,0.33794,-0.827574,1.503454
CRAB,2007-2014,Below_Threshold,-2.85795,-4.27846,-1.43744
CRAB,2007-2014,Above_Threshold,-1.27113,-2.8181776,0.2759176
CRAB,2015-2022,Below_Threshold,-1.38953,-2.513982,-0.265078
CRAB,2015-2022,Above_Threshold,0.19729,-0.9974672,1.3920472
CREC,1999-2006,Below_Threshold,0.0074017,-0.059115016,0.073918416
CREC,1999-2006,Above_Threshold,0.1991468,0.060195344,0.338098256
CREC,2007-2014,Below_Threshold,-0.0787643,-0.185777164,0.028248564
CREC,2007-2014,Above_Threshold,0.1133808,-0.046693184,0.273454784
CREC,2015-2022,Below_Threshold,-0.11291,-0.208340636,-0.017479364
CREC,2015-2022,Above_Threshold,0.0788351,-0.075276956,0.232947156
3GCREC,1999-2006,Below_Threshold,-0.57088,-0.8670556,-0.2747044
3GCREC,1999-2006,Above_Threshold,0.45815,-0.0064288,0.9227288
3GCREC,2007-2014,Below_Threshold,-1.13713,-1.5330696,-0.7411904
3GCREC,2007-2014,Above_Threshold,-0.1081,-0.6405536,0.4243536
3GCREC,2015-2022,Below_Threshold,-0.8527,-1.199424,-0.505976
3GCREC,2015-2022,Above_Threshold,0.17633,-0.3424624,0.6951224
